Path_category,Url,Count,Content / Page Focus
BRAC(12),,,
/,https://www.brac.net/,1,"Homepage introducing BRAC's mission as an international development organisation founded in 1972; emphasises community-led, holistic approach and long-term impact at scale, focusing on women and children and global leadership【971404439880748†L50-L64】."
/who-we-are,https://www.brac.net/who-we-are,6,"Explains BRAC's history, mission and identity; emphasises holistic, community-led approach and global leadership; subpages cover annual reports, global board, governing body, executive body, and financial statements【971404439880748†L50-L64】【971404439880748†L20-L25】."
/what-we-do,https://www.brac.net/what-we-do,15,"Describes BRAC's programme areas across social development, social enterprises, investments, and university; lists interventions such as ultra-poor graduation, integrated development, microfinance, health, climate change, gender justice, skills development, migration, education and youth platform【928819732760436†L48-L97】."
/where-we-work,https://www.brac.net/where-we-work,11,"Lists countries where BRAC operates—Bangladesh plus Afghanistan, Ghana, Kenya, Liberia, Myanmar, Philippines, Rwanda, Sierra Leone, South Sudan, Tanzania and Uganda—and invites visitors to join the global BRAC family【357393240742517†L52-L73】."
/brac-enterprises,https://www.brac.net/brac-enterprises,14,"Social enterprise section profiling BRAC's enterprises (e.g., BRAC Nursery, Seed and Agro Enterprise); provides narratives on how enterprises supply quality seeds, promote ecological balance and support agriculture and livelihoods【512636585346757†L51-L67】."
/annual-reports-and-publications,https://www.brac.net/annual-reports-and-publications,100,Repository of annual reports and publications; offers downloadable BRAC annual reports and audited financial statements for multiple countries and years【159681094724632†L49-L73】.
/brac-in-the-media,https://www.brac.net/brac-in-the-media,61,Collection of external media articles and interviews featuring BRAC's work; includes stories such as legal aid study in Bangladesh and highlights from health programmes【17330919460238†L51-L67】.
/latest-news,https://www.brac.net/latest-news,888,"News hub hosting BRAC's latest updates, press releases and stories; includes articles on World Diabetes Day and solar power installations; contains 888 news items【262586223662595†L51-L72】."
/contact-us,https://www.brac.net/contact-us,1,"Contact page listing BRAC headquarters and international offices with addresses, telephone numbers and email contacts; includes designated officers and regional contact details【16022497461968†L65-L76】."
/financial-and-external-audit,https://www.brac.net/financial-and-external-audit,1,"Describes BRAC's finance and accounts responsibilities—financial planning, record-keeping, managing donor grants and budgets—and highlights awards for financial transparency; provides links to audit reports【524609694846589†L67-L76】【524609694846589†L79-L84】."
/privacy-policy,https://www.brac.net/privacy-policy,1,"Explains how BRAC collects, uses and protects personal data; clarifies that personally identifiable information is collected voluntarily and used internally, and outlines cookie use and privacy safeguards【835111875244999†L63-L90】."
/terms-of-use,https://www.brac.net/terms-of-use,1,"Sets out the terms and conditions for using BRAC websites, covering copyright, trademarks, personal use limitations, user participation and donation refund policy【802268065041202†L63-L84】."
,,,
,,,
MSF(14),,,
/,https://www.msf.org/,1,"Homepage introducing Médecins Sans Frontières (MSF): outlines mission to provide medical humanitarian assistance to victims of conflict, natural disasters, epidemics and exclusion from healthcare, with navigation to About us, What we do, Where we work, Resources, Latest and Donate sections【406991665100210†L90-L110】."
/who-we-are,https://www.msf.org/who-we-are,1,"Who we are page: describes MSF as an international, independent medical humanitarian organisation; emphasises independence and principles of impartiality and neutrality; lists About us sub-sections (Who we are, How we work, How we're run, Reports and finances, Accountability, Contact us)【406991665100210†L62-L88】【406991665100210†L90-L110】."
/how-we-work,https://www.msf.org/how-we-work,3,"Explains how MSF operates: logistics is the cornerstone of MSF operations, with supply centres in France, Belgium and the Netherlands dispatching kits, supplies and medicines【761821417691840†L605-L617】; describes the Epicentre for epidemiological expertise and the MSF Academy for Healthcare for training local staff in 35 countries【761821417691840†L623-L653】; mentions reflection centres that critically review MSF’s humanitarian actions【761821417691840†L672-L683】."
/how-we-are-run,https://www.msf.org/how-we-are-run,1,Details MSF’s governance: the International Board acts on behalf of the International General Assembly; two-thirds of its members have a medical background; includes the International President and representatives from operational centres【779168360480763†L600-L616】.
/reports-and-finances,https://www.msf.org/reports-and-finances,2,"Reports and finances page: provides access to International Financial Reports and International Activity Reports; highlights that in 2024 over 7.1 million individual donors and private institutions contributed 98% of MSF’s €2.36 billion funding, ensuring independence【155234181830652†L415-L424】; outlines funding policy rejecting contributions from EU governments and industries conflicting with MSF’s mission (pharma, extraction, tobacco, arms)【155234181830652†L437-L452】."
/accountability,https://www.msf.org/accountability,3,"Outlines organisational accountability and commitments: behavioural commitments requiring integrity and procedures to prevent and address harassment and abuse【651324287637924†L401-L427】; describes actions to tackle racism and discrimination, including a 2020 action plan with public progress reports【651324287637924†L444-L458】; details environmental commitments to reduce carbon footprint by 50% compared to 2019 by 2030【651324287637924†L462-L489】."
/contact-us,https://www.msf.org/contact-us,1,"Contact us page: provides a directory of MSF units and partner sites (e.g., CRASH, UREPH, ARHP, MSF Analysis, MSF Supply, MSF Logistique, Amsterdam Procurement Unit, Brazilian Medical Unit, Epicentre, Evaluation Units), serving as contact points for logistics, research and training【345708441437329†L200-L266】."
/medical-activities,https://www.msf.org/medical-activities,15,"Medical activities library: lists numerous disease-specific topics and issues, including antibiotic resistance, child health, cholera, coronavirus, haemorrhagic fevers, hepatitis C, hepatitis E, HIV/AIDS, kala azar, malaria, malnutrition and others【399385887134577†L420-L546】."
/crisis-settings,https://www.msf.org/crisis-settings,7,"Crisis settings section: describes contexts of MSF responses and categories such as access to medicines, climate emergency, epidemics and pandemics, natural hazards, refugees and internally displaced people, social violence and exclusion, and war and conflict【779627327433621†L420-L499】【779627327433621†L392-L394】."
/focus,https://www.msf.org/focus,6,"In Focus section: provides in-depth coverage of key themes and events; examples include attacks on medical care, conflict in Sudan, Gaza–Israel war, Mediterranean migration, Rohingya refugee crisis, and the TACTiC tuberculosis project【756104561917503†L392-L486】."
/where-we-work,https://www.msf.org/where-we-work,70,"Where we work section: lists over 70 countries grouped by region; for example, the Africa region shows Cameroon, Sudan, Eswatini and 36 more countries; other regions include Asia & Pacific, Middle East & North Africa, Europe & Central Asia, and the Americas【406991665100210†L107-L148】."
/latest,https://www.msf.org/latest,1000,"Latest page: serves as a content hub for news, stories and publications; invites users to discover all the latest content and to filter by country【810127317782846†L390-L392】. This section likely hosts hundreds of news items and stories."
/resource-centre,https://www.msf.org/resource-centre,12,"Resource centre: gateway to MSF’s research and guidance materials including medical guidelines, Epicentre resources, evaluation units, MSF Academy for Healthcare, humanitarian law resources, paediatric days, MSF Foundation, Drugs for Neglected Diseases initiative (DNDi), and MSF science portal【399385887134577†L255-L330】."
/donate,https://www.msf.org/donate,1,"Donation page: explains how funds are used; notes that 79% of income is allocated to social mission activities, 16% to fundraising and 5% to management and administration【761821417691840†L750-L772】."
,,,
JA(19),,,
/,https://www.jaworldwide.org/,1,"Homepage introducing JA Worldwide: emphasises that JA is one of the world’s largest youth-serving nonprofits delivering hands-on learning in entrepreneurship, work readiness and financial health; notes that JA provides more than 19 million student experiences each year in over 100 countries and has been operating for more than a century【122005121379525†L51-L57】."
/vision-values-mission,https://www.jaworldwide.org/from-vision-to-impact,1,"Vision, values and mission page: presents JA’s global vision (young people have the skillset and mindset to build thriving communities), mission (JA inspires and prepares young people to succeed in a global economy) and a measurable impact statement (JA prepares youth for employment and entrepreneurship)【822323313320943†L47-L71】."
/experiences,https://www.jaworldwide.org/experiences,50,"Student learning experiences page: describes JA’s experiential curriculum for ages 5–25; notes there are more than 50 immersive learning experiences that build collaboration, creativity, self-confidence and resilience, with students job-shadowing mentors, running companies and solving community challenges【377241455520042†L45-L60】."
/locations,https://www.jaworldwide.org/locations,100,"Global reach page: explains that JA operates through six regional operating centers (sub-Saharan Africa, Americas, Asia Pacific, Europe, Middle East & North Africa, United States) and that over 700,000 volunteers and teachers mentor more than 19 million students across 100+ countries【37139248613378†L45-L52】. It lists member locations by country."
/strategicplan,https://www.jaworldwide.org/strategicplan,1,"Strategic plan 2026–2028 page: outlines JA’s strategy to empower young people amid economic instability and technological disruption; highlights JA as the bridge between education and the future of work and describes immersive learning in entrepreneurship, work readiness and financial health【43207380275624†L45-L56】."
/ja-news,https://www.jaworldwide.org/ja-news,50,"News hub featuring press releases and updates; includes articles about JA awards, conferences and regional events such as the Global Leadership Conference, JA Company of the Year competition and Nobel Prize news【51849763201895†L45-L71】."
/global-staff,https://www.jaworldwide.org/global-staff,1,Senior Leadership Team page: introduces the global leadership team guiding JA’s initiatives and notes that they serve over 15 million young people in more than 100 countries each year【63271448553969†L45-L56】; lists individual leaders and their roles.
/membercouncil,https://www.jaworldwide.org/membercouncil,1,Member Council page: describes the advisory body made up of representatives from each of JA’s six regions; it represents JA member views and helps communicate policy and protect the JA brand【589363814678876†L43-L49】.
/board,https://www.jaworldwide.org/board,1,"Board of Governors page: explains that the board shapes JA’s global footprint and serves as a fiduciary body to oversee the JA network【234800888517780†L43-L47】; lists board members, chairs and committee heads."
/globalcouncil,https://www.jaworldwide.org/globalcouncil,1,"Global Council page: describes the council as distinguished individuals committed to JA’s mission; highlights that members are globally minded corporate leaders, entrepreneurs and alumni who support JA events and attract additional supporters【557310471797287†L50-L61】."
/impact,https://www.jaworldwide.org/impact,1,Impact report page: emphasises that JA is a data-driven network using research and evidence to demonstrate impact; notes JA operates in 115 countries with over 50 learning experiences and conducts numerous evaluations to inform programmes【719131693415252†L45-L56】.
/esp,https://www.jaworldwide.org/esp,1,"Entrepreneurial Skills Pass page: presents the ESP as an international certification for students with an entrepreneurial mindset; explains that it originated from JA Europe, is now endorsed globally and used in more than 50 countries, with components including real-world entrepreneurial experience, competence assessment and final certification【447088592980503†L47-L66】."
/annual-report,https://www.jaworldwide.org/2024-year-in-review,1,"Year in Review/Annual Report page: highlights that in 2024 JA delivered more than 19 million student learning experiences across over 100 countries【72178057245734†L56-L60】; notes the organisation’s network of more than 700,000 volunteers and teachers and a goal to reach 100 million learning experiences per year by 2050【72178057245734†L98-L100】."
/partner,https://www.jaworldwide.org/partner,1,"Partner with JA page: explains that JA’s global impact is driven by partnerships with businesses and individuals; partners provide funding, serve on boards and volunteer; the page outlines categories like Institutional Partnerships, Campaigns for Good and Commercial Partnerships【270565743906239†L45-L60】."
/shop-for-good,https://www.jaworldwide.org/shop-for-good,40,Shop for Good page: promotes a fundraising initiative where shoppers purchase from partner brands and a portion of the sale is donated to JA; lists multiple partner retailers and encourages feedback【351059825975083†L45-L51】.
/alumni,https://www.jaworldwide.org/alumni,20,"Alumni impact stories page: showcases stories of JA alumni from around the world; emphasises that JA alumni start more companies, hire more employees and achieve higher income and career satisfaction than non-alumni【901664621922657†L49-L64】."
/employment,https://www.jaworldwide.org/employment,1,"Work for JA page: invites people motivated by JA’s mission to apply for positions; notes JA’s scale (reaching more than 19 million young people annually through an ecosystem of 700,000 teachers and volunteers) and its commitment to diversity and inclusion【995672856034074†L49-L60】【995672856034074†L61-L63】."
/donate,https://www.jaworldwide.org/donate,1,Donate page: explains that donations help equip young people with skills to thrive; emphasises building self-belief and preparing youth for the future of work; reiterates that JA reaches over 19 million students annually in more than 100 countries and provides a mailing address for donations【137206980873719†L43-L51】【137206980873719†L67-L68】.
/terms & privacy,https://www.jaworldwide.org/terms and https://www.jaworldwide.org/privacy,2,"Terms of Use and Privacy Policy pages: outline user responsibilities and legal rights when using JA sites and services; explain that the content is owned by JA and must not be reproduced without permission【408768409879127†L45-L72】. The privacy statement describes what personal data is collected and how it is used, emphasising JA’s commitment to protecting personal information and compliance with data privacy laws【607484572293180†L45-L60】."
,,,
,,,
Pratham,,,
/,pratham.org,1,"Homepage introducing Pratham as an innovative learning organisation created in 1995 to improve education quality in India; highlights high-quality, low-cost, replicable interventions and reach across 26 states and millions of children and youth【320177646900244†L148-L160】【320177646900244†L188-L216】."
About Us,pratham.org/about-us,1,"Explains Pratham’s mission to improve education quality through high-quality, low-cost, replicable models; discusses history, collaborations with government and communities, and innovation and accountability strategies【579215979505505†L95-L143】【579215979505505†L124-L155】."
Board,pratham.org/about-us/board,1,Introduces the board composed of leaders from corporations and philanthropists who guide Pratham’s mission and goals【723118391175435†L95-L100】.
Leadership,pratham.org/about-us/leadership,1,Profiles Pratham’s leadership team; describes them as visionaries dedicated to improving opportunities for children and youth in India【463976197927329†L95-L100】.
Teaching at the Right Level,pratham.org/what-we-do/teaching-at-the-right-level,1,"Describes the Teaching at the Right Level (TaRL) methodology, grouping children by learning level and using simple, engaging activities rather than traditional chalk-and-talk methods【349898861399024†L132-L147】; highlights low learning outcomes and the need for TaRL【349898861399024†L104-L118】."
Awards & Recognition,pratham.org/about-us/awards-recognition,1,"Highlights international recognitions such as MacArthur 100&Change finalist, Yidan Prize, Indira Gandhi Prize; emphasises Pratham’s innovative methodologies and measurable impact【330188613252128†L93-L101】."
Media & Publications,pratham.org/media,50,"News hub with articles and interviews on education policy, recognitions and stories of impact; features ASER analysis and coverage of Pratham’s work【45957414533514†L94-L116】."
Financials,pratham.org/about-us/financials,20,Provides links to audited financial statements (PEF and FCRA) from 2015–16 to 2024–25 and contact details for offices in Delhi and Mumbai【603812929860754†L93-L124】.
Programs,pratham.org/programs,7,"Summarises Pratham’s history and impact across 25 states; introduces program pillars: Early Years, Elementary, Hamara Gaon, Second Chance, Skilling & Vocational Training, Digital Initiatives and ASER; notes that in 2023–2024 Pratham reached 90 lakh children, 3 lakh girls/women and 1.18 lakh youth【602082552096935†L95-L104】【602082552096935†L109-L157】."
Education,pratham.org/education,4,"Describes core educational programs addressing gaps using cost‑effective methods; lists subprograms (Birth‑to‑3 Years, Early Years, Elementary, Hamara Gaon) that build foundational skills and rely on TaRL【434738872857929†L95-L101】【434738872857929†L107-L146】."
Second Chance,pratham.org/second-chance,1,"Details program helping girls and women complete Grade 10; explains reasons for dropout and emphasises accessible, localised learning; notes the program has reached over 50 000 learners across several states【504027595834028†L95-L156】."
Vocational Training,pratham.org/vocational-training,1,"Summarises vocational skilling program training youth aged 18–25 from disadvantaged backgrounds; features 140 centres across 18 states, an 85% placement rate and over 200 000 youth trained since 2005【624547892244436†L95-L141】."
Digital Initiatives,pratham.org/digital-initiatives,1,"Explains how digital technology supports all programs; objectives include innovation using AI, scaling impact through partnerships and developing digital resources; mentions the PraDigi Innovation Centre and tools like the BaalSakhi chatbot and PadhAI reading assessment app【48228010039935†L93-L133】."
ASER (Annual Status of Education Report),pratham.org/aser,1,"Describes ASER Centre as Pratham’s research and assessment unit that produces evidence-based reports on education; highlights household surveys across rural districts, involving 500 organisations and 25 000 volunteers, producing district‑level learning estimates【872399799725293†L95-L149】."
Donate,pratham.org/donate,1,"Donation page urging support to empower children, girls/women and youth; states that in 2024–2025 Pratham reached 8 million children, 270 000 girls/women and 124 000 youth across 26 states【850808731132902†L95-L189】."
Work with Us,pratham.org/work-with-us,1,"Lists job opportunities and internships; highlights Pratham as a learning organisation focusing on people, agility and a safe, inclusive workplace; emphasises compliance with the Sexual Harassment Act【457215757451600†L95-L136】."
Partners,pratham.org/partners,1,"Invites tailored partnerships aligned with CSR objectives; mentions volunteering and giving; describes areas to partner on (children & learning, youth & skilling, girls & women, digital initiatives)【863125781031002†L95-L171】."
Stories of Change,pratham.org/stories-of-change,10,"Showcases individual stories of transformation and impact (e.g., Vineeta, Ritanjali, Dimple) demonstrating how Pratham programmes change lives【46787524262315†L95-L114】."
Blog,pratham.org/blogs,20,"Blog hub offering thought leadership and stories on topics like Teaching at the Right Level, mother‑led learning and early learning spaces【110833363405342†L95-L113】."
Publications & Reports,pratham.org/publications,20,"Provides annual reports, program snapshots, ASER reports and other publications offering data and stories reflecting Pratham’s journey and impact【467072541597565†L93-L99】."
Contact,pratham.org/contact,1,Lists central office addresses in Delhi and Mumbai and state offices across India with contact persons and phone numbers【166315828895764†L95-L133】.
,,,
Smile,,,
/,smilefoundationindia.org,1,"Homepage introducing Smile Foundation and top navigation: About Us, Our Work, Campaigns, Get Involved, Media Centre, Resource Centre and Contact."
About Us / Our Story,smilefoundationindia.org/our-story,1,"Explains Smile Foundation's mission to empower underprivileged children, youth and women through education, healthcare and livelihood programmes; emphasises civic-driven change and integrated approach linking business competitiveness to social development【184087771410243†L333-L339】【184087771410243†L380-L409】."
Reach & Presence,smilefoundationindia.org/reach-presence,1,Reach & Presence page notes that Smile Foundation impacts more than 2 million underserved children and families through projects across many Indian states and union territories【523365728186683†L250-L256】.
Civic Driven Change,smilefoundationindia.org/civic-driven-change,1,"Describes the principle of civic-driven change, encouraging participation of civil society and partnerships with communities, corporations and governments for sustainable change【677834547271990†L248-L266】."
Milestones / Smilestones,smilefoundationindia.org/smilestones,1,"Highlights achievements and awards; notes that Smile Foundation's welfare projects in education, livelihood, healthcare, nutrition and women empowerment have benefited over 1 million beneficiaries in its 20-year journey【562591934762122†L372-L375】."
Good Governance,smilefoundationindia.org/good-governance,1,"Details good governance mechanisms with a four-tier audit and evaluation process ensuring transparency and accountability; explains governance structure including executive committees, advisory body and board of trustees【318966432580675†L248-L255】【318966432580675†L361-L389】."
Education,smilefoundationindia.org/education,4,"Education section describes the Mission Education programme empowering underprivileged children through education, nutrition and wellness support; outlines a four-pronged approach (curriculum-based learning, enabling environments, teacher capacity building, community engagement) and notes impact figures for 2023-24 such as 160,000 children receiving quality education【766280013368541†L250-L334】."
Health,smilefoundationindia.org/health,4,"Health page covers Smile Foundation's community-centric health programme delivering primary healthcare via mobile units, telemedicine, static clinics and health camps; lists interventions and impact numbers including over 1 million beneficiaries, 75% women and children【122129114833442†L246-L337】."
Livelihood,smilefoundationindia.org/livelihood,3,"Livelihood page explains the skills training programme connecting underprivileged youth to employment opportunities, with alignment to government Skill India initiative and SDGs; notes impact numbers such as 9,000 youth trained and 5,500 placed in 2023-24 and 75,000 youth trained overall【25220192620036†L267-L337】."
Women Empowerment,smilefoundationindia.org/women-empowerment,1,"Women Empowerment (Swabhiman) programme aims to make marginalised women healthy, empowered and financially independent through interventions in reproductive health, nutrition, entrepreneurship and financial literacy; impact numbers include over 190,000 women reached in 2023-24【420399637895189†L262-L312】."
Disaster Response,smilefoundationindia.org/disaster-response,1,Disaster Response section describes responding to natural disasters like earthquakes and floods and providing relief and sustainable support to rebuild lives【232595739283462†L250-L270】.
Media & Publications,smilefoundationindia.org/media-centre,50,"Media Centre / Publications page serves as a hub for news, articles and interviews featuring Smile Foundation’s work and policy insights【45957414533514†L94-L116】."
Campaigns / Get Involved,smilefoundationindia.org/campaigns,6,"Campaigns page lists advocacy and fundraising campaigns such as Shiksha Na Ruke, Health Cannot Wait, She Can Fly, Swabhiman and Tayyari Kal Ki with details and call to action."
Contact,smilefoundationindia.org/contact,1,"Contact page includes headquarters address (Gulmohar House, Yusuf Sarai Community Centre, New Delhi), phone and email details for reaching the organisation【523365728186683†L396-L400】."
,,,
,,,
Akshaya(19),,,
/,akshayapatra.org,1,"Homepage introducing Akshaya Patra Foundation; highlights mission to ensure no child is deprived of education because of hunger and outlines navigation for Who We Are, What We Do, Our Reach, Sustainability, Impact, News and involvement opportunities."
About us,akshayapatra.org/about-us,1,"Explains that Akshaya Patra is an independent charitable trust implementing the Government of India’s PM POSHAN (Mid-Day Meal) programme to end classroom hunger; states the vision of ‘No child in India shall be deprived of education because of hunger’ and mission to feed 3 million children by 2025, currently serving over 2.35 million children in more than 25,000 schools across 78 locations in 16 states and 3 union territories【461915230258280†L101-L124】."
Vision & mission,akshayapatra.org/vision-and-mission,1,Reiterates the vision and mission: addressing classroom hunger through the Mid-Day Meal (PM POSHAN) programme and aiming to feed 3 million children daily by 2025 while providing nutritious meals as motivation for education【472623325690003†L99-L137】.
Governance,akshayapatra.org/governance,1,"Outlines governance philosophy based on laws, rules and ethical practices; emphasises board accountability, equitable stakeholder treatment, strategic guidance and transparency; notes that partnerships with government and donors helped expand from serving 1,500 children in 2000 to over 2.2 million children daily【746918231409786†L101-L124】【746918231409786†L101-L140】."
Board of Trustees,akshayapatra.org/board-of-trustees,1,"Describes the board composition of the Akshaya Patra charitable trust, which includes ISKCON missionaries, corporate professionals and entrepreneurs; highlights good governance and founder Madhu Pandit Dasa’s Padma Shri recognition【878017108465257†L101-L133】."
Financials,akshayapatra.org/financials,1,"Provides financial statements and emphasises adherence to international and Indian financial reporting standards; mentions awards such as the ICAI Gold Shield for excellence in financial reporting, underscoring transparency and accountability【629188603308347†L103-L114】."
How your money is spent,akshayapatra.org/how-your-money-is-spent,1,"Explains that 92% of donations are allocated to programme costs, with only 8% spent on programme management and administration【441156007741763†L101-L106】."
Audit system,akshayapatra.org/audit-system,1,Highlights the organisation’s robust internal control system; lists internal auditors SS Kothari Mehta & Co and Brahmayya & Co; describes the audit committee comprising finance experts that ensures effectiveness of internal controls【159945492474933†L101-L115】.
Our work,akshayapatra.org/our-work,1,"Summarises all feeding and non-feeding programmes: mid-day meal (PM POSHAN), ICDS Anganwadi feeding, breakfast, food assistance, and non-feeding initiatives such as NEST (student transformation), digital education, scholarship programmes, school rejuvenation and remedial classes; emphasises that no child should choose between food and education【623324041893074†L103-L145】."
Feeding for Education,akshayapatra.org/feeding-for-education,1,"Describes the flagship Feeding for Education programme implementing PM POSHAN across 23,978 schools in 78 locations and 16 states/UTs; provides hot mid-day meals delivering 450–700 calories per child; currently feeds about 2.33 million children each day and aspires to reach 3 million by 2025【353891705088087†L103-L136】."
Anganwadi Feeding,akshayapatra.org/anganwadi-feeding,1,"Explains the ICDS Anganwadi feeding programme with 4 locations across 3 states, serving 2,405 centres and 55,960 beneficiaries; aims to improve nutrition and health for women and children, reduce mortality and malnutrition and provide supplementary nutrition and health services【535281536165577†L119-L156】."
Mid-Day Meal,akshayapatra.org/mid-day-meal,1,"Defines the mid-day meal as a school lunch under PM POSHAN; notes benefits such as increased enrolment, attendance, reduced dropouts and improved nutrition; highlights the role of NGOs like Akshaya Patra in public–private partnerships to implement and design the programme【970814556132532†L103-L165】."
Research & Advocacy,akshayapatra.org/research-advocacy,1,Focuses on partnering with organisations and engaging in research and innovation to enhance the school lunch programme; emphasises two decades of experience used to inform policymakers and improve nutrition programmes【111387100811693†L103-L118】.
Beyond Meals,akshayapatra.org/beyond-meals,4,"Covers initiatives beyond feeding, including Scholarship programmes providing financial support for higher education, the Akshaya Patra Alumni Network offering upskilling and job counselling, Abhay remedial classes for academic improvement and NEST (National Endeavour for Student Transformation) enhancing quality of education and learning environments【253532992828618†L101-L134】."
Disaster Relief Feeding,akshayapatra.org/disaster-relief-feeding,1,"Describes large-scale food relief during natural disasters using kitchen infrastructure, trained staff and volunteers; emphasises pivoting from school feeding to relief operations and collaborating with partners to distribute meals during disasters【139331294319965†L103-L161】."
Our Reach,akshayapatra.org/our-reach,78,"Displays state-wise and location-wise reach; recounts growth from feeding 1,500 children in 5 schools in 2000 to serving over 2.33 million beneficiaries across 78 locations in 16 states and 3 union territories【438172155136567†L103-L107】."
Our Kitchens,akshayapatra.org/our-kitchens,2,"Describes centralised and decentralised kitchen models capable of producing up to 100,000 meals daily; highlights semi-automated equipment, stainless-steel processes and strict quality-control practices like FIFO/FEFO to ensure safe and timely delivery of meals【330473033389589†L105-L144】."
Sustainability,akshayapatra.org/sustainability,1,"Details sustainability initiatives such as installing solar panels (2,350 kWh capacity plus 931 kWh pipeline), using biomass briquettes and biogas, operating 86 electric vehicles with a goal of 200 by 2025–26, implementing waste reduction through FIFO/FEFO and aligning operations with 10 United Nations SDGs【339254822028343†L105-L163】."
Impact Reports,akshayapatra.org/impact-reports,10,Shares annual impact assessment reports demonstrating the programme’s social return on investment and contributions to SDG 2 (Zero Hunger) and SDG 4 (Quality Education)【203255035886545†L101-L108】.
Contact us,akshayapatra.org/contact-us,1,"Lists head office address (Hare Krishna Hill, West of Chord Road, Rajajinagar, Bengaluru) and central office & communication address (#72, 3rd Floor, 3rd Main Road, Yeshwantpur Industrial Suburb, Bengaluru) along with telephone numbers and emails for donor and general inquiries【557343407611404†L103-L158】."